time,open,high,low,close,Volume
1729527600,156.6,156.6,156.33,156.4,14970
1729527900,156.4,156.4,156.15,156.29,12607
1729528200,156.28,156.41,156.22,156.36,17676
1729528500,156.36,156.44,156.1,156.18,11509
1729528800,156.18,156.28,156.14,156.18,10045
1729529100,156.19,156.23,156.1,156.18,7360
1729529400,156.2,156.38,156.16,156.35,14648
1729529700,156.36,156.51,156.34,156.43,17981
1729530000,156.42,156.63,156.39,156.56,19728
1729530300,156.56,156.62,156.45,156.61,15096
1729530600,156.59,156.72,156.51,156.71,19250
1729530900,156.69,156.78,156.43,156.56,52987
1729531200,156.55,156.58,156.34,156.47,20407
1729531500,156.47,156.58,156.42,156.55,14073
1729531800,156.56,156.9,156.56,156.9,39885
1729532100,156.89,157.29,156.88,157.29,72188
1729532400,157.3,157.3,156.98,157.045,21192
1729532700,157.04,157.11,156.94,157.05,17770
1729533000,157.07,157.09,156.88,156.96,17572
1729533300,156.97,157.06,156.9,157.01,14310
1729533600,157.02,157.18,156.92,156.97,22553
1729533900,156.99,157,156.66,156.76,23273
1729534200,156.77,156.97,156.77,156.91,7840
1729534500,156.93,157.05,156.89,157.01,15616
1729534800,157.02,157.03,156.64,156.9,15110
1729535100,156.91,157.07,156.9,156.98,20761
1729535400,156.95,157.07,156.85,156.99,15079
1729535700,157,157,156.86,156.86,8891
1729536000,156.85,156.89,156.66,156.75,22068
1729536300,156.73,156.93,156.65,156.88,14670
1729536600,156.89,156.98,156.79,156.84,14804
1729536900,156.84,156.89,156.67,156.74,14982
1729537200,156.74,156.81,156.62,156.73,13287
1729537500,156.75,157.12,156.74,157.12,34105
1729537800,157.11,157.42,157.06,157.41,65628
1729538100,157.41,157.61,157.36,157.57,44401
1729538400,157.6,157.62,157.28,157.34,24401
1729538700,157.35,157.48,157.2,157.27,19124
1729539000,157.24,157.43,157.22,157.32,24040
1729539300,157.3,157.39,157.21,157.25,18785
1729539600,157.24,157.49,157.23,157.49,14300
1729539900,157.49,157.72,157.43,157.72,34174
1729540200,157.71,157.83,157.52,157.82,57321
1729540500,157.77,158,157.74,158,82569
1729603800,156.6,156.74,153.2,153.2,341750
1729604100,153.17,153.95,153.08,153.78,209510
1729604400,153.8,154.16,153.48,153.94,147463
1729604700,153.93,154.35,153.81,153.98,140971
1729605000,153.98,154.3,153.4,154.24,211428
1729605300,154.24,154.38,153.78,154.34,74931
1729605600,154.4,154.48,154.03,154.27,65476
1729605900,154.3,154.92,154.21,154.53,102503
1729606200,154.52,154.59,154.15,154.52,51764
1729606500,154.52,154.6,154.18,154.26,64935
1729606800,154.25,154.34,153.9,154.17,100314
1729607100,154.15,154.31,153.92,153.94,53579
1729607400,153.98,154.14,153.82,153.96,48817
1729607700,153.95,154.46,153.87,154.23,48539
1729608000,154.25,154.42,154.19,154.22,26386
1729608300,154.21,154.35,153.9,154.05,44071
1729608600,154.04,154.15,153.95,153.97,26097
1729608900,153.99,154.02,153.7,153.91,51604
1729609200,153.91,154.13,153.86,153.95,34156
1729609500,153.93,154.04,153.86,153.88,19645
1729609800,153.89,153.89,153.53,153.6,51064
1729610100,153.61,153.92,153.52,153.53,48882
1729610400,153.51,153.58,153.26,153.36,82105
1729610700,153.36,153.48,153.13,153.33,59003
1729611000,153.34,153.48,153.25,153.39,39699
1729611300,153.4,153.4,152.81,152.91,190312
1729611600,152.92,152.99,152.6,152.79,82012
1729611900,152.76,152.96,152.72,152.93,85658
1729612200,152.93,152.93,152.7,152.87,70711
1729612500,152.87,152.99,152.78,152.81,33594
1729612800,152.82,152.82,152.38,152.42,84601
1729613100,152.42,152.6,152.36,152.43,41827
1729613400,152.42,152.49,152.18,152.45,60117
1729613700,152.44,152.63,152.28,152.34,50274
1729614000,152.35,152.35,152.08,152.1,47142
1729614300,152.09,152.25,151.91,152.11,86186
1729614600,152.1,152.54,152.07,152.48,52513
1729614900,152.495,152.52,152.2,152.4,26690
1729615200,152.4,152.49,152.22,152.42,21632
1729615500,152.45,152.85,152.45,152.82,46205
1729615800,152.81,153,152.75,152.94,39691
1729616100,152.93,153.13,152.92,153.1,63608
1729616400,153.08,153.24,153.01,153.07,34147
1729616700,153.08,153.32,153.08,153.12,47709
1729617000,153.13,153.22,153,153.2,25012
1729617300,153.21,153.35,153.11,153.28,18316
1729617600,153.29,153.36,153.22,153.27,20072
1729617900,153.28,153.4,153.19,153.25,25914
1729618200,153.24,153.33,153.08,153.31,37954
1729618500,153.32,153.66,153.28,153.575,61967
1729618800,153.58,153.81,153.31,153.33,53857
1729619100,153.32,153.55,153.32,153.53,28717
1729619400,153.54,153.69,153.5,153.64,28145
1729619700,153.64,153.84,153.64,153.74,35623
1729620000,153.73,154.07,153.66,154.05,55746
1729620300,154.05,154.11,153.71,153.8,69861
1729620600,153.79,153.825,153.44,153.47,32386
1729620900,153.475,153.73,153.46,153.58,22538
1729621200,153.59,153.89,153.42,153.82,36794
1729621500,153.815,153.93,153.72,153.77,20209
1729621800,153.79,153.83,153.54,153.67,23477
1729622100,153.68,153.71,153.6,153.605,17759
1729622400,153.61,153.825,153.57,153.69,25651
1729622700,153.73,153.9,153.73,153.85,25702
1729623000,153.86,154.06,153.815,153.9,66174
1729623300,153.91,154.03,153.87,153.98,25456
1729623600,153.96,154.14,153.95,153.97,32339
1729623900,153.98,154.1,153.92,154.1,26195
1729624200,154.1,154.17,154.025,154.15,25471
1729624500,154.14,154.18,154.03,154.06,20626
1729624800,154.06,154.12,153.96,154.075,20042
1729625100,154.08,154.34,154.07,154.31,59873
1729625400,154.31,154.39,153.975,154,46858
1729625700,154,154.17,153.97,154.045,16247
1729626000,154.04,154.075,153.93,154.02,27448
1729626300,154.03,154.38,154.03,154.28,51589
1729626600,154.28,154.57,154.2,154.52,91327
1729626900,154.53,154.58,153.99,154.06,103931
1729690200,153,153.46,152.03,152.95,129224
1729690500,152.93,153.35,152.64,152.89,96028
1729690800,152.86,153.335,152.85,153.11,45628
1729691100,153.12,153.12,152.75,152.95,62292
1729691400,152.97,153.06,152.51,152.69,68747
1729691700,152.7,153,152.44,152.44,79692
1729692000,152.42,152.6,151.75,151.92,138179
1729692300,151.91,152,151.22,151.47,135740
1729692600,151.44,152.22,151.39,152.1,65513
1729692900,152.05,152.36,151.92,151.92,48162
1729693200,151.92,152.35,151.81,152.12,36139
1729693500,152.1,152.84,152.03,152.83,74487
1729693800,152.82,153.02,152.72,152.95,68461
1729694100,152.97,153.09,152.82,152.88,37848
1729694400,152.91,153.09,152.78,153.01,31801
1729694700,153,153.13,152.85,152.87,38856
1729695000,152.89,152.93,152.57,152.62,37988
1729695300,152.64,152.77,152.37,152.38,24690
1729695600,152.36,152.99,152.29,152.98,33680
1729695900,152.96,152.99,152.58,152.71,23905
1729696200,152.74,152.8,152.05,152.26,50193
1729696500,152.25,152.36,152.02,152.05,38142
1729696800,152.05,152.44,152.04,152.28,28206
1729697100,152.28,152.3,151.94,151.95,44328
1729697400,151.93,152.15,151.93,152.08,15592
1729697700,152.08,152.43,152.08,152.35,23043
1729698000,152.37,152.5,152.23,152.5,20570
1729698300,152.51,152.65,152.45,152.49,21055
1729698600,152.48,152.6,152.27,152.42,25843
1729698900,152.43,152.92,152.35,152.9,33711
1729699200,152.87,152.93,152.34,152.4,17361
1729699500,152.41,152.55,152.23,152.47,20251
1729699800,152.46,152.52,152.33,152.37,12265
1729700100,152.36,152.48,152.26,152.35,17677
1729700400,152.34,152.47,152.17,152.24,28212
1729700700,152.21,152.43,152.2,152.24,20825
1729701000,152.24,152.44,152.05,152.42,28790
1729701300,152.42,152.59,152.4,152.53,19445
1729701600,152.54,152.75,152.47,152.62,12230
1729701900,152.65,152.77,152.6,152.74,23013
1729702200,152.72,152.72,152.37,152.41,22550
1729702500,152.42,152.59,152.38,152.45,15185
1729702800,152.44,152.44,152.03,152.06,26138
1729703100,152.06,152.27,151.97,152.03,37857
1729703400,152.01,152.11,151.36,151.38,69432
1729703700,151.43,151.56,151.36,151.42,26824
1729704000,151.42,151.51,151.23,151.31,50665
1729704300,151.31,151.54,151.29,151.53,15654
1729704600,151.52,151.52,151.26,151.38,39749
1729704900,151.37,151.37,150.88,150.98,90338
1729705200,150.97,151,150.79,150.83,26186
1729705500,150.83,151.11,150.75,151.05,31031
1729705800,151.1,151.14,150.67,150.855,37679
1729706100,150.86,150.93,150.74,150.78,27544
1729706400,150.77,151.079,150.73,150.8,18459
1729706700,150.79,150.91,150.54,150.87,27755
1729707000,150.87,150.9,150.67,150.73,22292
1729707300,150.75,150.82,150.52,150.61,32960
1729707600,150.63,151.07,150.63,151.06,36212
1729707900,151.04,151.37,151.01,151.19,36242
1729708200,151.17,151.55,151.09,151.51,53623
1729708500,151.51,151.67,151.35,151.58,33424
1729708800,151.55,151.85,151.46,151.85,24245
1729709100,151.84,152.18,151.82,152.17,50185
1729709400,152.18,152.35,152.09,152.18,32827
1729709700,152.2,152.26,151.97,152.19,25512
1729710000,152.18,152.395,152.11,152.35,33686
1729710300,152.34,152.34,152.02,152.1,33032
